City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,umm kaddadah,13.6017,26.6876,82.47,27,36,"{'speed': 4.54, 'deg': 200, 'gust': 5.23}",SD,200
55,longyearbyen,78.2186,15.6401,13.84,79,40,"{'speed': 6.91, 'deg': 100}",SJ,200
56,faya,18.3851,42.4509,59.52,57,32,"{'speed': 3.27, 'deg': 140, 'gust': 4.16}",SA,200
57,arraial do cabo,-22.9661,-42.0278,71.46,78,0,"{'speed': 2.3, 'deg': 90}",BR,200
58,coihaique,-45.5752,-72.0662,54.21,71,75,"{'speed': 4.61, 'deg': 240}",CL,200
59,saint-augustin,51.226,-58.6502,40.1,75,3,"{'speed': 11.34, 'deg': 89, 'gust': 16.31}",CA,200
60,chokurdakh,70.6333,147.9167,21.96,95,100,"{'speed': 7.96, 'deg': 46, 'gust': 13.78}",RU,200
61,kalmunai,7.4167,81.8167,81.32,78,100,"{'speed': 3.22, 'deg': 198, 'gust': 4.25}",LK,200
62,rikitea,-23.1203,-134.9692,79.14,87,100,"{'speed': 14.81, 'deg': 300, 'gust': 19.98}",PF,200
63,barrow,71.2906,-156.7887,6.82,72,75,"{'speed': 12.66, 'deg': 10}",US,200
64,katsuura,35.1333,140.3,51.57,85,100,"{'speed': 19.24, 'deg': 57, 'gust': 22.44}",JP,200
65,mascote,-15.5631,-39.3025,71.55,99,83,"{'speed': 3.24, 'deg': 192, 'gust': 17.22}",BR,200
66,vestmanna,62.1564,-7.1664,32.92,75,100,"{'speed': 14.97, 'deg': 30}",FO,200
67,savinskiy,62.9342,40.1361,29.19,91,98,"{'speed': 3.47, 'deg': 103, 'gust': 9.53}",RU,200
68,asau,46.4333,26.4,45.52,83,86,"{'speed': 3.02, 'deg': 262, 'gust': 2.75}",RO,200
69,kapaa,22.0752,-159.319,80.58,77,20,"{'speed': 5.75, 'deg': 110}",US,200
70,havre-saint-pierre,50.2334,-63.5986,37.67,84,81,"{'speed': 10.63, 'deg': 112, 'gust': 13.82}",CA,200
71,saint-philippe,-21.3585,55.7679,78.39,74,100,"{'speed': 6.29, 'deg': 307, 'gust': 8.21}",RE,200
72,shangrao,28.4532,117.9686,57.02,97,100,"{'speed': 5.08, 'deg': 232, 'gust': 9.86}",CN,200
73,hobart,-42.8794,147.3294,48.27,82,0,"{'speed': 8.05, 'deg': 290}",AU,200
74,san rafael,-34.6177,-68.3301,65.55,48,5,"{'speed': 3.91, 'deg': 59, 'gust': 4.7}",AR,200
75,souris,49.6172,-100.2612,42.75,64,97,"{'speed': 5.86, 'deg': 24, 'gust': 7.09}",CA,200
76,tura,25.5198,90.2201,64.2,74,22,"{'speed': 2.89, 'deg': 95, 'gust': 3.06}",IN,200
77,xian,34.2583,108.9286,37.0,99,100,"{'speed': 1.86, 'deg': 80, 'gust': 1.68}",CN,200
78,carnarvon,-24.8667,113.6333,71.92,74,100,"{'speed': 12.48, 'deg': 169, 'gust': 16.71}",AU,200
79,tessalit,20.1986,1.0114,83.53,13,3,"{'speed': 6.31, 'deg': 356, 'gust': 6.55}",ML,200
80,smoky lake,54.1169,-112.4686,48.94,51,100,"{'speed': 16.71, 'deg': 144, 'gust': 22.21}",CA,200
81,qaanaaq,77.484,-69.3632,11.43,92,94,"{'speed': 1.28, 'deg': 30, 'gust': 1.34}",GL,200
82,vytegra,61.0064,36.4481,38.88,97,68,"{'speed': 4.41, 'deg': 140, 'gust': 7.54}",RU,200
83,norman wells,65.282,-126.8329,15.12,83,100,"{'speed': 9.51, 'deg': 294, 'gust': 10.42}",CA,200
84,fortuna,40.5982,-124.1573,57.65,82,100,"{'speed': 5.99, 'deg': 309, 'gust': 14}",US,200
85,kawalu,-7.3817,108.2082,72.37,98,90,"{'speed': 1.83, 'deg': 15, 'gust': 1.99}",ID,200
86,charters towers,-20.1,146.2667,67.93,78,99,"{'speed': 12.21, 'deg': 132, 'gust': 20.85}",AU,200
87,lebu,-37.6167,-73.65,54.84,82,0,"{'speed': 12.95, 'deg': 185, 'gust': 18.79}",CL,200
88,hilo,19.7297,-155.09,87.28,70,40,"{'speed': 16.11, 'deg': 130}",US,200
89,eureka,40.8021,-124.1637,61.66,80,100,"{'speed': 11.01, 'deg': 39, 'gust': 15.01}",US,200
90,lima,-12.0432,-77.0282,75.45,73,40,"{'speed': 17.27, 'deg': 170}",PE,200
91,mandan,46.8267,-100.8896,49.98,30,40,"{'speed': 13.8, 'deg': 30, 'gust': 18.41}",US,200
92,nadym,65.5333,72.5167,33.82,98,100,"{'speed': 13.49, 'deg': 157, 'gust': 23.53}",RU,200
93,mataura,-46.1927,168.8643,52.48,90,98,"{'speed': 9.64, 'deg': 256, 'gust': 26.78}",NZ,200
94,thai binh,20.45,106.3333,75.97,96,73,"{'speed': 6.26, 'deg': 144, 'gust': 14.03}",VN,200
95,sitka,57.0531,-135.33,51.69,62,75,"{'speed': 4.61, 'deg': 250}",US,200
96,tortoli,39.9256,9.6572,60.19,65,77,"{'speed': 6.35, 'deg': 297, 'gust': 6.53}",IT,200
97,ishigaki,24.3448,124.1572,73.74,80,74,"{'speed': 9.84, 'deg': 81, 'gust': 9.69}",JP,200
98,krutinka,56.0055,71.5113,44.31,88,96,"{'speed': 10.42, 'deg': 291, 'gust': 20.31}",RU,200
99,saldanha,-33.0117,17.9442,61.43,97,100,"{'speed': 10.07, 'deg': 16, 'gust': 16.17}",ZA,200
100,sloboda,51.1421,40.3021,49.39,83,84,"{'speed': 5.35, 'deg': 94, 'gust': 6.11}",RU,200
101,bethel,41.3712,-73.414,60.94,69,0,"{'speed': 6.91, 'deg': 340}",US,200
102,avera,33.194,-82.5271,75.54,37,31,"{'speed': 7.29, 'deg': 308, 'gust': 9.33}",US,200
103,sechura,-5.5569,-80.8222,79.23,79,100,"{'speed': 9.17, 'deg': 282, 'gust': 10.54}",PE,200
104,cayenne,4.9333,-52.3333,77.04,94,0,"{'speed': 3.44, 'deg': 100}",GF,200
105,balsas,-7.5325,-46.0356,80.2,62,89,"{'speed': 1.79, 'deg': 255, 'gust': 3.04}",BR,200
106,pisco,-13.7,-76.2167,77.05,69,0,"{'speed': 17.27, 'deg': 220}",PE,200
107,saint-pierre,-21.3393,55.4781,78.48,73,0,"{'speed': 5.75, 'deg': 360}",RE,200
108,klaksvik,62.2266,-6.589,34.72,64,100,"{'speed': 25.19, 'deg': 20, 'gust': 25.32}",FO,200
109,chuy,-33.6971,-53.4616,65.1,88,100,"{'speed': 8.12, 'deg': 83, 'gust': 17.98}",UY,200
110,geraldton,-28.7667,114.6,68.41,64,40,"{'speed': 10.36, 'deg': 250}",AU,200
111,howard springs,-12.497,131.047,75.11,82,30,"{'speed': 7.18, 'deg': 109, 'gust': 24.38}",AU,200
112,yulara,-25.2406,130.9889,59.56,39,3,"{'speed': 9.69, 'deg': 101, 'gust': 16.87}",AU,200
113,san patricio,28.017,-97.5169,69.84,86,100,"{'speed': 10.54, 'deg': 61, 'gust': 15.03}",US,200
114,santa maria,-29.6842,-53.8069,68.0,52,100,"{'speed': 6.15, 'deg': 106, 'gust': 16.73}",BR,200
115,ixtapa,20.7,-105.2,79.83,74,75,"{'speed': 12.66, 'deg': 210}",MX,200
116,severo-kurilsk,50.6789,156.125,32.16,89,88,"{'speed': 15.64, 'deg': 273, 'gust': 22.84}",RU,200
117,half moon bay,37.4636,-122.4286,74.88,80,100,"{'speed': 27.63, 'deg': 280, 'gust': 37.98}",US,200
118,kaitangata,-46.2817,169.8464,49.93,65,58,"{'speed': 14.79, 'deg': 264, 'gust': 31.56}",NZ,200
